,Film,Song,Raga
205,Naya Zamana,Kahan Jaate Ho Toota Dil Hamara,Hamsakinkini
206,Bahurani,Balma Anadi Man Bhaye,Hemant
207,Jalti Nishani,Ruth Ke Tum To Chal Diye,Hemant
208,Sangeet Samrat Tansen,Sudh Bisar Gai Aja,Hemant
209,Bawarchi,,Hemant
210,Dekh Kabir Roya,Bairan Ho Gai Raina,Jaijaivanti
211, Koyal,Dil Ka Diya Jalaya,Jaijaivanti
212,(non-film song),Dost Ban Kar Bhi Nahin Saath Nibhanevala,Jaijaivanti
213,Seema,Manmohana Bade Jhuthe,Jaijaivanti
214,Lal Patthar,Suni Suni Saaj Ki Sitar Par,Jaijaivanti
215,Mughal-e-Azam,Yeh Dil Ki Lagi Kam Kya Hogi (a.k.a. Jab Raat Hai Aisi Matwali),Jaijaivanti
216,Son of India,Zindagi Aaj Mere Nam Se Sharamati Hai,Jaijaivanti
217,Oonche Log,Ajaa Re Mere Pyar ke Rahi,Janasamohani with touches of Jhinjhothi
218,Raffo Chakkar,Bhajan Bina Chain Naa Aye Ram,Janasamohani
219,Anuradha,Haye Re Wo Din Kyun Naa aaye,Janasamohani
220,Dil Diya Dard Liya,Koi Sagar Dil Ko Behlata Nahin,Janasamohani
221,Aggi Veerudu,Pilichindi Andala Baala,Janasamohani
222,Do Kalyan,Chitanandan Aage Nachungi,Jaunpuri
223,Inspector,Dil Ched Koi Aisa Nagma,Jaunpuri
224,Satyamev Jayate,Dil Mein Ho Tum Ankhon Me Tum,Jaunpuri
225,Jogan,Ghunghat Ke Pat Khol,Jaunpuri
226,Taxi Driver,Jaye To Jayen Kahan Samjhe Ga Kaun Yahan,Jaunpuri
227,Madhosh,Meri Yad Men Tum Na Ansu Bahana,Jaunpuri
228,Swadesh,Pal Pal Hai Bharee,Jaunpuri
229,Sangeet Samrat Tansen,Badli Badli Duniya Hai Meri,Jhinjhoti
230,Champakali,Chhup Gaya Koi Re Door Se Pukar Ke,Jhinjhoti
231,Chor Machaye Shor,"Ghungharu Ki Taraha, Bajta hi Raha Hun Main",Jhinjhoti
232,Basant Bahar ,"Jaa Jaa Re Jaa, Balmava",Jhinjhoti
233,Chhoti Bahen,Jaun Kahan Bata E Dil,Jhinjhoti
234,Jhumroo,"Koi Hamdam Na Raha, Koi Sahara Na Raha",Jhinjhoti
235,Mere Mehboob,Mere Maheboob Tujhe Meri Muhabbat Ki Qasam,Jhinjhoti
236,Guide,Mose Chal Kiye Jaye Hai Re Hai Hai Dekho Saiyan Beiman,Jhinjhoti
237,Zindagi,So Ja Rajkumari So Ja,Jhinjhoti
238,Chirag,Teri Ankhon Ke Siva Duniyan Mein,Jhinjhoti
239,Non Film Song,"Thumak Chalat Ramchandra, Baajat Paijaniya",Jhinjhoti
240,Pagla Kahin Ka,Tum Mujhe Yun Bhula Na Paoge,Jhinjhoti
241,Dil Se,Dil Se Re,Jog
242,Sawan,Naina Dwara Se,Jog
243,"Non-film song from album ""Sehar Ho Rahi Hai""",Unape Yu Pyar Aane Laga hai (a.k.a. Un Pe Kuch Iss Tarah Pyar Aane Laga,Jog
244,Dil Ek Mandir Hai,Dil Ek Mandir Hai,Jogiya
245,Sangeet Samrat Tansen,He Natraja Gangadhar Shambho Bolenath,Jogiya
246,Goonj Uthi Shehnaai,Kah Do Koi Na Kare Yahan Pyaar,Jogiya
247,Hamdard,"Pi Been Suna Re, Patjhad Jaisa Jeevan Mera","Jogiya (first part), Bahar (second part)"
248,Sone Ki Chidiya,Raat Bhar Ka Hai Maheman Andhera,Jogiya
249,(non film song),Nis Din Barsat Nain Hamare,Jogkauns
250,Suhagan,Ae Dunya Kya Tujh Se Kahen,kafi
251,Godaan,Biraj Men Holi Khelat Nand Lal,kafi
252,Chacha Zindabad,Bairana Neend Na Aye,kafi
253,Munimji,Ghayal Hiraniya,kafi
254,Mere Hazoor,Hamari Sansoo Me Aaj Tak Woh Hina Kis Kushboo,kafi
255,non film song,Hori Ho Brijaraja Dulare,kafi
256,Saiqa,Ik Sitam Aur Meri Jaan Abhi Jaan Baqi Hai,kafi
257,Ghazal,Ishq Ki Garmi-e-Jazabaat Kise Pesha Karun,kafi
258,Anarkali,Jalte Hain Arman Mera Dil Roota Hai,kafi
259,Chashme Buddoor,Kaali Ghodi Dwar Khadi,kafi
260,Dhool Ka Phool,Kaise Kahun Man Ki Baat,kafi
261,Sawal,Lat Uljhi Suljha Ja Re Baalam,kafi
262,Chahat,Pyar Bhare Do Sharmeele,kafi
263,Koel,Rim Jhim Rim Jhim Pere Phawar Tera Mera Nit Ka Pyar,kafi
264,Heer Ranjha,Sun Wanjli Di Mithri Taanway,kafi
265,Sharafat,Tere Bheege Badan Ki Kushboo Se,kafi
266,An Evening With Jagjit Singh (non-film song),"Tum Nahin, Gam Nahin, Sharab Nahin",kafi
267,Manokamnaa,Tumhara Pyar Chahiye Mujhe,kafi
268,Jaal,Yeh Raat Yeh Chandni,kafi
269,(non-film song),Dil Men Aur To Kya Rakha Hai,Kalavati
270,Hum Kisi Se Kum Nahin,Ham Kisi Se Kam Nahin,Kalavati
271,Chitralekha,Kahe Tarasae Jiyara,Kalavati
272,Sur Sangam,Maika Piya Bulave,Kalavati
273,Barsaat Ki Raat,Na To Karavan Ki Taalash Hai,Kalavati
274,Darvaza,Piya Nahin Aye,Kalavati
275,Khilona,Sanam Tu Bevafa Ke Nam Se,Kalavati
276,Uljhan,Subah Aur Sham Kaam Hi Kaam,Kalavati
277,Swades,Yeh Tara Voh Tara,Kalavati
278,Chitralekha,Ae Ri Janeh na Doongih!,Kamod
279,Ragini,Chheda Diye Mere Dil Ke Tara Ko,Kamod
280,Amrapali,Jao Re Jogi Tum Jao Re,Kamod
281,Saath Saath,Tumko Dekha To Ye Khayal Aya,Kamod
282,Non Film Song,Ab To Madhava Mohe Ubar,Kaushik Kanada
283,Ustaadon Ke Ustaad,Sau Bar Janam Lenge,Kaushik Kanada
284,Ghar,Aap Ki Ankhon Men Kucch Mahake Hue Se Raaz Hai,Kedar
285,Ek Musafir Ek Hasina,Aap Yun Hi Agar Humse Milte Rahe Dekhiye Ek Din Pyaar Ho Jaayega,Kedar
286,Mughal-e-Azam,Bekas Pe Karam Kijie,Kedar
287,Non-film song,Bhooli Bisri Chand,Kedar
288,Saawan Ko Aane Do,Bole To Basuri Kahi,Kedar
289,Narsi Bhagat,Darashan Do Ghanashyam Naath Morii Ankhiyan Pyasi Re,Kedar
290,Guddi,Ham Ko Man Ki Shakti Dena,Kedar
291,Chingari,Har Waqt Tere Husn Ka,Kedar
292,Boot Polish / Tel Malish,Kanha Ja Re,Kedar
293,Jahanara,Kisi Ki Yaad,Kedar
294,Ashiaana,Main Pagal Mera Manawa Pagal,Kedar
295,Benazeer,Mil Ja Re Jane Jana,Kedar
296,The Burning Train,Pal Do Pal Ka Saath Hamara,Kedar
297,Bhakta Surdaas,Panchhi Bawra Chhand Se Prit Lagaye,Kedar
298,Munimji,Sajan Bina Neend Na Ave,Kedar
299,Andaaz ,Uthaye Ja Unke Sitam Aur Jeeye Ja,Kedar
300,Navrang,A Dil Se Dil Mila Le,khammaaj
301,Aarti,Ab Kya Misal Dun,khammaaj
302,Buddha Mil Gaya,Ayo Kahan Se Ghanashyam,khammaaj
303,Amar Prem ,Bada Natkhat Hai Re Krishna Kahaiya,khammaaj
304,Mother India,Chunariya Katati Jae,khammaaj
305,Kohinoor,Dhal Chuki Sham-e-Gham,khammaaj
306,Bhanwara,Ham Apna Unhe Bana Na Sake,khammaaj
307,Aaye Din Bahar Ke,Khat Likh De Savariya Ke Naam Babu,khammaaj
308,Amar Prem ,Kuch To Log Kahenge,khammaaj
309,Meera,Mere To Giridhara Gopala,khammaaj
310,Kaala Paani,Nazar Lagi Raja Tore Bungle Par,khammaaj
