,Thaat,Vadi,Samvadi,Jati,Time of day,Mukhya-Ang,Aaroh-Avroh,Raag,link
39,Bhairav,Dhaivat,Rishabh,Audhav-Audhav,Early Morning,"S r m P d ; P d m r ; r S ,d S ; m P d d S ; d P d m ; P m r S ;","S r m P d S - S d P m r r S ,d S;",Gunkali,http://www.tanarang.com/english/gunkali_eng.htm
40,Todi,Dhaivat,Rishabh,Shadhav-Shadhav,Late morning,"S r ,N ,d S ; r g M d ; M d N d ; N d M g r ; g r S;","S r g M d N S - S N d M d M g r g r S; ,d ,N S;",Gurjari Todi,http://www.tanarang.com/english/gurjari-todi_eng.htm
41,Kalyan,Dhaivat,Gandhar,Audhav-Sampurna,Night,P ; G m N D ; D P ; G m P G m R S;,S G m D ; N D S;,Hameer,http://www.tanarang.com/english/hameer_eng.htm
42,Bilawal,Shadj,Pancham,Audhav-Audhav,Night,",N RG P G R G P N S;  S N P G R G P G R S",-,Hans Dhwani,http://www.tanarang.com/english/hans-dhwani_eng.htm
43,Kafi,Pancham,Shadj,Audhav-Sampurna,Afternoon,"G m D P ; m P g R S ; ,N S G m P P ; m P ; m n D P ; D P m P ; G m D P g R S ;",",N S G m P N S - S n D P m P G m P g R S ,N S",Hans Kinkini,http://www.tanarang.com/english/hans-kinkini_eng.htm
44,Kafi,Gandhar,Nishad,Audhav-Audhav,Night,"S ,D ,n S ; g M g S ; g M D n S ; S n D M g S ; g M g S ,n S ,D ,n g S;",S g M D n S - S n D M g S ;,Harikauns,http://www.tanarang.com/english/hari-kauns_eng.htm
45,Bilawal,Madhyam,Shadj,Audhav-Sampurna,Night,G m D N D ; m (P)m ; N D (P)m ; G m G R S ; G m D P m G R S;,S G m D N S - S N D P m G R S;,Hemant,http://www.tanarang.com/english/hemant_eng.htm
46,Kafi,Nishad,Gandhar,Audhav-Audhav,Night,",N S g m P ; m g S g ,N S ; g m P S ; n P ; m ; Pm gm P ; g P m g S g ,NS",",N S g m P N S - S n P m g m g S ,N ,N S",Hemshri,http://www.tanarang.com/english/hemshri_eng.htm
47,Kalyan,Dhaivat,Gandhar,Audha-Audhav(NishadisrarelyemployedinAvroh),Dawn,"D D N M D S ; D M G ; S ,D ,D S","S G M D N M D S - S N D M G M G S ,D S;",Hindol,http://www.tanarang.com/english/hindol_eng.htm
48,Kafi,Rishabh,Pancham,Audhav-Sampurna,Night,",D,n R ; R g R S ; ,N S ; R m P N ; n D P","S ,D ,n R; R g R S; G m P m G R ; R m P N S - S n D P m G R g R S; ,N S ,D ,n R S;",Jaijaivanti,http://www.tanarang.com/english/jaijaivanti_eng.htm
49,Bilawal,Madhyam,Shadj,Audhav-Audhav,Night,S R S m ; m R P m ; m P D S ; R S D P m ; P m R S ;,S R m P D S - S D P m R S ;,Jaldhar Kedar,http://www.tanarang.com/english/jaldhar-kedar_eng.htm
50,Asawari,Dhaivat,Gandhar,Shadhav-Sampurna,Late morning,"R m P , d m P S ; R n d P ; m P n d P ; d m P g R m P ;",S R m P d n S - S n d P m g R S;,Jaunpuri,http://www.tanarang.com/english/jaunpuri_eng.htm
51,Marwa,Pancham,Shadj,Audhav-Audhav,Sandhi-Prakash Raag,P D P S; S P ; P D G P ; P G r S; ,S r G P D P S - S P D P ; P D G P; P G r S;,Jayat,http://www.tanarang.com/english/jayat_eng.htm
52,Khamaj,Gandhar,Nishad,Shadhav-Sampurna,Night,",D S R m G ; R G S R ,n ,D ,P ,D S ; ,P ,D S R G m G ; m G R S ; R ,n ,D S ;",S R m P D S - S n D P m G R G S;,Jhinjhoti,http://www.tanarang.com/english/jhinjhoti_eng.htm
53,Kafi,Madhyam,Shadj,Audhav-Audhav,Night,G m P n P ; P n P m G m ; G m g S;,"S G m P n S - S n P m g S; ,n S;",Jog,http://www.tanarang.com/english/jog_eng.htm
